Date,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
3/20/2022,649.175,639.6875,648.3125,654.925,644.8625,647.7375,615.825,614.3875,640.8375,696.6125,701.5,709.2625,656.65,671.8875,796.95,675.625,687.9875,679.3625,688.85,681.6625,667.8625,663.2625,648.3125,633.65
3/21/2022,630.2,606.9125,616.4,623.0125,643.1375,700.0625,644.575,664.7,663.8375,706.1,707.825,701.5,710.9875,694.025,699.4875,690.8625,683.675,692.3,703.8,709.2625,694.025,687.9875,651.1875,573.275
3/22/2022,562.6375,575.575,555.7375,560.9125,547.4,594.2625,486.7375,471.7875,402.5,505.1375,529,544.525,514.3375,533.3125,549.125,594.8375,587.3625,566.375,575,581.9,578.1625,558.6125,592.825,572.4125
3/23/2022,570.4,567.8125,555.1625,549.7,576.4375,611.8,588.8,560.3375,546.5375,584.4875,577.875,637.675,691.4375,645.15,593.4,665.85,615.825,595.125,633.3625,624.45,625.8875,264.5,0.575,370.875
3/24/2022,539.6375,538.2,535.9,537.625,532.1625,397.325,0,1.4375,16.1,594.55,612.6625,613.525,624.45,598.575,581.325,577.0125,487.6,619.5625,636.8125,631.6375,623.0125,620.425,612.6625,580.4625
3/25/2022,560.625,560.625,554.875,556.8875,573.5625,601.45,580.4625,612.6625,580.175,619.5625,666.1375,650.0375,622.725,664.7,671.025,662.975,628.475,592.25,618.9875,627.6125,629.05,614.675,598.575,562.6375
3/26/2022,520.6625,534.4625,528.1375,525.2625,559.1875,557.175,552.8625,560.625,586.2125,661.25,694.3125,648.025,105.8,511.4625,676.775,706.675,685.975,681.0875,687.4125,687.125,651.475,656.9375,664.4125,638.25
3/27/2022,595.9875,597.1375,605.7625,572.9875,0,8.05,172.2125,627.0375,652.05,676.2,685.975,693.1625,692.875,683.1,676.2,670.45,650.325,650.0375,657.225,700.35,702.65,689.425,673.6125,683.9625
3/28/2022,660.1,655.7875,666.1375,662.975,653.2,636.8125,642.85,654.35,639.975,621.575,667.8625,701.7875,707.25,685.4,663.2625,675.9125,666.7125,650.325,660.9625,697.7625,684.5375,666.1375,642.275,607.4875
3/29/2022,595.9875,564.9375,570.6875,568.3875,619.275,658.95,685.4,674.475,683.9625,797.8125,785.45,792.925,773.375,779.9875,771.9375,775.3875,749.8,724.5,707.825,710.4125,704.95,684.25,681.0875,652.625
3/30/2022,659.8125,627.6125,628.1875,628.7625,684.825,665.5625,671.6,683.1,683.675,726.8,781.425,780.5625,788.0375,796.6625,793.2125,766.475,784.0125,770.5,734.275,738.3,725.075,743.7625,726.8,724.5
3/31/2022,715.5875,707.25,718.75,718.4625,757.85,774.8125,755.55,729.1,725.9375,695.75,671.6,668.15,685.975,682.2375,681.6625,686.8375,682.8125,662.975,664.9875,704.375,704.95,678.5,691.15,682.2375
4/1/2022,666.425,660.9625,666.1375,666.1375,669.875,700.6375,685.1125,671.8875,721.9125,746.6375,754.4,698.625,702.9375,709.2625,706.3875,716.7375,714.4375,711.275,710.125,727.0875,720.1875,713,703.225,695.4625
4/2/2022,702.9375,648.8875,624.45,622.15,667.8625,709.55,669.3,680.225,720.7625,790.05,799.5375,835.7625,614.675,550.85,792.925,760.725,373.175,128.225,347.0125,765.9,786.8875,788.9,780.5625,776.825
4/3/2022,756.125,735.1375,734.85,734.85,579.025,91.425,60.375,56.925,116.725,156.975,209.0125,905.3375,882.05,361.9625,687.125,759.2875,759.2875,767.05,426.65,130.525,532.1625,769.925,778.8375,785.1625
4/4/2022,803.5625,781.425,761.3,796.0875,888.0875,793.5,613.8125,587.075,599.15,565.5125,549.125,665.5625,722.775,782.8625,779.4125,282.9,104.9375,322.575,731.6875,737.15,743.475,752.675,733.125,737.725
4/5/2022,709.55,731.1125,714.725,707.25,711.85,750.6625,756.7,752.9625,748.9375,782,746.925,329.7625,433.55,794.9375,806.4375,764.175,754.975,732.55,757.5625,759.8625,752.9625,748.075,706.9625,681.375
4/6/2022,698.3375,720.1875,744.625,674.1875,679.9375,729.1,730.825,718.75,751.2375,772.225,753.25,776.825,738.5875,799.825,818.225,828.8625,795.5125,753.5375,774.8125,798.3875,775.9625,761.3,791.775,751.525
4/7/2022,730.25,724.5,687.125,668.725,681.375,750.95,729.675,746.6375,737.725,732.2625,711.5625,720.475,708.975,698.05,683.9625,681.6625,575.2875,553.4375,570.6875,567.525,552.2875,628.1875,708.975,700.6375
4/8/2022,674.475,671.3125,656.075,643.1375,648.8875,686.2625,694.6,741.175,726.5125,739.1625,792.0625,767.9125,785.45,805.2875,777.1125,760.725,735.1375,672.4625,704.375,708.6875,709.2625,755.55,741.75,694.025
4/9/2022,673.0375,659.525,662.4,625.3125,641.125,722.775,713.575,758.1375,738.3,744.625,725.3625,742.325,756.7,764.175,727.0875,118.7375,55.775,7.1875,207,682.525,669.875,704.375,713,713.8625
4/10/2022,738.0125,719.6125,690,715.5875,696.9,702.65,697.1875,727.6625,608.0625,62.1,125.0625,141.45,137.7125,629.625,740.6,738.875,559.1875,91.7125,85.9625,85.1,117.875,709.2625,701.5,698.3375
4/11/2022,717.6,700.35,686.8375,645.725,662.1125,680.225,654.925,650.0375,710.7,645.4375,429.525,702.3625,773.0875,760.15,723.6375,693.7375,685.1125,692.5875,717.3125,743.1875,711.275,674.7625,671.8875,689.425
4/12/2022,676.2,691.4375,677.925,677.925,685.6875,671.6,674.475,691.725,711.275,696.9,736.575,771.075,754.975,752.675,750.375,766.7625,753.825,694.6,694.3125,681.375,706.9625,698.9125,701.5,698.9125
4/13/2022,682.2375,690,683.675,688.85,662.6875,669.875,681.95,660.675,775.3875,814.775,836.9125,826.5625,804.425,812.7625,798.3875,785.45,767.3375,736.8625,766.7625,375.1875,635.95,768.775,363.4,410.55
4/14/2022,754.4,736.2875,752.675,735.425,721.05,744.05,738.875,747.7875,159.275,164.45,136.85,149.2125,138,134.55,128.5125,142.3125,165.025,408.5375,753.25,742.0375,755.2625,752.3875,754.6875,759.575
4/15/2022,754.4,755.8375,734.85,746.925,754.975,754.1125,774.8125,259.0375,113.85,240.6375,203.55,210.7375,198.95,422.3375,796.95,581.0375,147.4875,128.225,315.9625,776.25,770.5,756.125,752.9625,466.0375
4/16/2022,91.425,94.875,64.4,78.775,74.75,121.325,35.3625,62.9625,121.0375,141.45,125.925,155.25,152.95,122.475,128.5125,120.175,104.9375,107.2375,129.0875,169.9125,177.1,143.75,124.775,126.7875
4/17/2022,135.9875,102.925,445.3375,717.8875,709.2625,750.6625,724.5,728.8125,790.3375,828.2875,196.075,199.525,193.775,203.8375,95.1625,37.6625,488.175,158.7,130.525,139.15,79.925,69.575,61.8125,28.4625
4/18/2022,30.475,17.825,20.9875,5.175,11.7875,15.2375,20.7,14.0875,67.5625,142.025,147.2,146.625,179.975,199.525,168.475,214.475,63.25,103.7875,110.975,117.5875,139.725,127.65,142.8875,114.7125
4/19/2022,101.775,56.35,37.95,33.35,78.775,87.975,122.7625,695.175,832.025,858.475,823.4,819.6625,818.5125,813.625,813.625,825.7,138.575,124.2,124.2,142.025,143.4625,130.525,129.375,96.3125
4/20/2022,69,80.5,81.9375,49.1625,53.1875,58.9375,73.6,78.2,112.125,227.4125,693.1625,852.725,249.2625,190.6125,148.0625,178.25,152.0875,403.9375,742.325,770.7875,759.575,737.15,726.225,746.925
4/21/2022,179.6875,110.975,116.4375,78.4875,69.8625,63.5375,76.475,391.8625,762.1625,519.8,161,192.9125,164.7375,167.0375,164.1625,146.3375,156.975,138,156.975,160.1375,125.6375,119.3125,102.925,233.1625
4/22/2022,688.5625,654.0625,678.2125,677.35,721.05,649.75,113.5625,176.8125,771.65,835.1875,844.9625,888.95,275.1375,215.625,211.025,194.35,232.3,676.4875,809.6,818.225,804.7125,780.5625,728.525,707.825
4/23/2022,740.025,383.525,26.45,37.6625,112.7,130.8125,143.75,181.4125,220.225,238.3375,151.8,143.175,166.175,212.4625,197.8,193.775,175.95,158.125,163.3,150.3625,138.8625,111.2625,130.525,121.0375
4/24/2022,116.725,106.95,115.2875,115.8625,105.5125,102.6375,67.275,134.8375,160.7125,212.4625,228.5625,202.975,172.7875,181.7,171.925,128.8,116.725,119.025,142.6,474.95,803.5625,822.825,530.725,175.95
4/25/2022,268.8125,799.25,794.075,760.15,760.725,755.55,731.1125,740.8875,768.4875,825.125,828.575,860.2,820.2375,798.9625,794.9375,761.5875,763.6,738.0125,794.075,797.2375,800.1125,797.8125,772.5125,745.4875
4/26/2022,781.1375,774.8125,771.65,769.35,802.7,877.1625,839.7875,777.6875,832.8875,867.1,824.8375,849.5625,843.525,848.4125,839.5,653.4875,302.7375,118.1625,449.3625,729.3875,720.1875,762.45,714.4375,712.425
4/27/2022,705.2375,700.0625,742.0375,757.5625,772.5125,800.975,793.2125,835.475,765.6125,817.3625,815.35,819.6625,814.4875,829.725,0,45.7125,593.1125,792.925,802.7,780.85,743.7625,723.6375,754.975,772.225
4/28/2022,767.3375,750.0875,752.9625,759.8625,770.2125,751.2375,747.2125,760.4375,782.8625,808.45,795.225,801.2625,752.9625,717.8875,738.5875,740.3125,766.7625,755.8375,786.6,780.5625,793.2125,784.5875,727.375,733.125
4/29/2022,689.7125,679.9375,669.875,658.375,668.4375,728.2375,723.6375,765.0375,785.1625,794.075,790.05,785.1625,776.825,779.125,721.3375,474.95,751.8125,746.925,775.3875,759.2875,698.9125,705.8125,706.1,722.775
